Restaurant_name , Number_of_User_Response , Restaurant_Location , Restaurant_Menu , Number_of_Food_Items 
Uncle Boy’s,746,Inner Richmond,Burgers Fast Food,2
Native Burger,321,Laurel Heights,Burgers,1
WesBurger ‘N’ More,736,Mission,Burgers,1
Roam Artisan Burgers,1352,Lower Pacific Heights,Burgers,1
Super Duper Burgers,1430,Duboce Triangle,Burgers American (Traditional),2
Flippin Burger,88,The Haight,Burgers Hot Dogs Sandwiches,3
Hi-Way Burger & Fry,282,Noe Valley,Burgers Fast Food,2
The Butcher Shop by Niku Steakhouse,220,$$$,Butcher,1
Calibur,522,West Portal,Burgers American (Traditional),2
Hidden Spot EXL,22,Mission Terrace,Burgers Sandwiches Chicken Wings,3
